,sender,receiver,time
0,Ike04,Ike03,0.0
1,Ike03,Ike04,16.462846388888888
2,Ike04,Ike03,17.529725555555554
3,Ike13,Ike17,37.86418166666667
4,Ike17,Ike13,41.090629444444446
5,Ike15,Ike13,337.87699194444446
6,Ike04,Ike15,338.16042111111113
7,Ike15,Ike04,338.6310041666667
8,Ike03,Ike13,352.0432108333333
9,Ike15,Ike13,355.8076075
10,Ike19,Ike13,364.45857861111114
11,Ike22,Ike13,389.6073841666667
12,Ike15,Ike04,406.80995138888886
13,Ike15,Ike04,428.9098938888889
14,Ike15,Ike04,462.83962305555553
15,Ike15,Ike13,464.52099055555556
16,Ike15,Ike13,469.29695888888887
17,Ike17,Ike03,499.6540391666667
18,Ike15,Ike13,519.7529969444445
19,Ike06,Ike04,526.1847519444444
20,Ike06,Ike13,526.5240411111112
21,Ike15,Ike13,527.2778455555556
22,Ike13,Ike17,527.4360044444444
23,Ike08,Ike13,527.9413694444445
24,Ike13,Ike08,528.4506325
25,Ike08,Ike13,532.0954786111112
26,Ike13,Ike04,533.3175525
27,Ike13,Ike17,544.3831822222222
28,Ike04,Ike19,546.5636125
29,Ike17,Ike04,547.5308541666667
30,Ike13,Ike12,548.423785
31,Ike11,Ike16,556.580805
32,Ike09,Ike18,592.2158852777778
33,Ike18,Ike09,592.4936213888889
34,Ike09,Ike18,592.5161327777778
35,Ike18,Ike09,592.5679633333333
36,Ike18,Ike09,605.1342594444444
37,Ike11,Ike13,606.08682
38,Ike13,Ike11,606.3436919444445
39,Ike13,Ike17,619.0641727777778
40,Ike13,Ike17,619.1027605555555
41,Ike13,Ike17,619.3017413888889
42,Ike13,Ike05,620.3567838888889
43,Ike07,Ike13,625.3622488888889
44,Ike07,Ike13,625.3945552777777
45,Ike07,Ike13,625.4416602777778
46,Ike15,Ike07,625.6752491666666
47,Ike11,Ike16,628.8399452777778
48,Ike09,Ike11,628.8430538888889
49,Ike09,Ike05,629.9105952777778
50,Ike19,Ike05,629.9367730555556
51,Ike22,Ike02,630.9852144444444
52,Ike02,Ike22,631.8096302777777
53,Ike22,Ike02,638.2140580555556
54,Ike11,Ike22,640.2463183333333
55,Ike22,Ike11,640.5501413888888
56,Ike11,Ike22,640.9191247222223
57,Ike16,Ike22,641.3796719444445
58,Ike15,Ike22,641.9596655555556
59,Ike22,Ike11,643.1307319444444
60,Ike22,Ike13,643.6277688888889
61,Ike15,Ike13,643.9584361111112
62,Ike09,Ike18,644.8082408333333
63,Ike18,Ike09,644.90631
64,Ike13,Ike17,645.5602433333333
65,Ike22,Ike15,645.6037475
66,Ike11,Ike13,647.2476486111111
67,Ike11,Ike13,647.2887563888889
68,Ike13,Ike17,647.3780088888889
69,Ike09,Ike13,647.4093963888889
70,Ike13,Ike15,647.6090894444444
71,Ike15,Ike13,647.6889447222222
72,Ike16,Ike12,649.3038863888889
73,Ike04,Ike06,649.7093133333333
74,Ike12,Ike16,649.7465233333334
75,Ike07,Ike17,650.0035411111111
76,Ike09,Ike07,650.4587741666667
77,Ike17,Ike07,651.2658213888889
78,Ike15,Ike06,652.5688788888889
79,Ike11,Ike13,652.5773030555556
80,Ike15,Ike13,666.498315
81,Ike15,Ike13,666.5201688888889
82,Ike15,Ike06,666.7674341666667
83,Ike09,Ike07,667.6692963888889
84,Ike13,Ike11,672.1861386111111
85,Ike12,Ike04,672.7570830555555
86,Ike09,Ike18,672.9930722222222
87,Ike18,Ike09,673.0058794444444
88,Ike04,Ike12,675.7261497222222
89,Ike07,Ike13,678.3453313888889
90,Ike05,Ike15,692.198885
91,Ike05,Ike06,692.3070616666666
92,Ike13,Ike17,695.2823975
93,Ike18,Ike09,695.35159
94,Ike05,Ike06,695.4836166666666
95,Ike20,Ike15,695.5998052777778
96,Ike09,Ike15,695.6047233333334
97,Ike18,Ike15,695.6204872222222
98,Ike13,Ike17,696.0635452777777
99,Ike13,Ike11,696.1118444444445
100,Ike11,Ike13,696.3542627777778
101,Ike15,Ike06,696.5891844444444
102,Ike13,Ike15,696.7168805555556
103,Ike17,Ike15,696.7529697222222
104,Ike04,Ike15,696.7681461111112
105,Ike12,Ike15,696.7734072222222
106,Ike06,Ike15,696.7970283333333
107,Ike02,Ike15,696.8564938888888
108,Ike19,Ike15,696.9311652777777
109,Ike15,Ike13,697.1663566666666
110,Ike13,Ike02,697.2824794444444
111,Ike02,Ike13,697.5072080555556
112,Ike18,Ike09,698.0708169444445
113,Ike09,Ike18,698.0862761111111
114,Ike18,Ike09,698.094726388889
115,Ike09,Ike18,698.1173244444444
116,Ike11,Ike13,702.064775
117,Ike09,Ike13,702.4525791666666
118,Ike09,Ike13,703.0574272222223
119,Ike17,Ike18,712.2033858333333
120,Ike09,Ike18,712.47045
121,Ike13,Ike17,716.4797808333333
122,Ike13,Ike11,718.9205605555555
123,Ike11,Ike13,718.9883105555556
124,Ike07,Ike06,720.0042541666667
125,Ike02,Ike07,720.3103880555556
126,Ike11,Ike06,720.9244886111111
127,Ike11,Ike13,721.0802613888889
128,Ike18,Ike09,721.3636002777778
129,Ike12,Ike07,724.0816930555555
130,Ike12,Ike18,724.1898508333334
131,Ike07,Ike02,725.2681088888888
132,Ike07,Ike12,725.2842097222223
133,Ike13,Ike11,737.6568319444444
134,Ike13,Ike11,737.9476116666667
135,Ike01,Ike15,738.6841655555555
136,Ike01,Ike15,738.7029375
137,Ike19,Ike01,742.955615
138,Ike01,Ike06,743.1699672222222
139,Ike06,Ike01,743.5697361111111
140,Ike09,Ike18,743.8910905555556
141,Ike18,Ike09,743.9846316666667
142,Ike13,Ike03,768.7895263888889
143,Ike02,Ike13,768.9524313888888
144,Ike15,Ike06,808.566775
145,Ike13,Ike17,814.2236872222222
146,Ike13,Ike17,814.4048977777778
147,Ike12,Ike13,814.8642386111111
148,Ike01,Ike18,816.2737616666667
149,Ike11,Ike13,816.5560505555555
150,Ike13,Ike11,816.5900794444444
151,Ike13,Ike02,818.3590780555555
152,Ike02,Ike13,819.4984605555555
153,Ike18,Ike13,821.4913333333334
154,Ike18,Ike13,821.5472002777777
155,Ike09,Ike18,833.4700355555556
156,Ike18,Ike09,834.1753930555556
157,Ike09,Ike18,834.5277422222222
158,Ike17,Ike09,834.9340552777778
159,Ike18,Ike09,834.9398797222223
160,Ike09,Ike18,834.9733247222222
161,Ike17,Ike09,834.9907566666667
162,Ike18,Ike09,835.0054688888889
163,Ike09,Ike05,835.1767347222222
164,Ike09,Ike18,835.37898
165,Ike18,Ike09,835.4366794444444
166,Ike09,Ike18,835.5040925
167,Ike22,Ike15,837.6163625
168,Ike15,Ike02,838.3816130555556
169,Ike15,Ike14,838.4802891666667
170,Ike17,Ike15,838.5675194444444
171,Ike22,Ike15,840.0828486111111
172,Ike07,Ike15,840.3109108333333
173,Ike10,Ike15,840.3564377777777
174,Ike08,Ike15,840.3645325
175,Ike14,Ike15,840.5037522222223
176,Ike13,Ike17,840.6689336111111
177,Ike13,Ike17,856.5250655555556
178,Ike22,Ike15,856.6420375
179,Ike22,Ike15,857.8233961111112
